x,y,y_down,y_up
0.0,18.550248756218906,10.0,28.0
3.0,33.318921594316826,13.0,60.0
6.0,37.15412480974125,13.0,69.0
9.0,37.82701314397945,12.0,70.0
12.0,40.78254680827767,14.0,75.0
15.0,38.155523255813954,10.0,70.0
18.0,31.17753424657534,10.0,60.0
21.0,45.138817480719794,15.0,85.0
24.0,58.30769230769231,20.8,128.00000000000006
27.0,93.46666666666667,30.8,184.0
30.0,145.9,79.0,203.0
33.0,101.0,41.4,183.79999999999998
36.0,150.0,81.2,218.8
39.0,162.5,112.5,212.5
42.0,138.0,108.4,167.6
45.0,220.0,220.0,220.0
48.0,265.0,237.0,293.0
51.0,253.33333333333334,224.0,288.0
54.0,474.0,235.0,709.2
57.0,320.0,320.0,320.0
60.0,375.0,375.0,375.0
66.0,457.0,423.4,490.6
69.0,258.0,258.0,258.0
72.0,350.0,350.0,350.0
75.0,770.0,770.0,770.0
81.0,980.0,980.0,980.0
84.0,495.0,495.0,495.0
87.0,19.833333333333332,14.5,25.0
90.0,27.5,25.5,29.5
120.0,25.625,12.0,49.0
141.0,21.636363636363637,8.0,40.0
147.0,21.5,14.7,28.3
150.0,40.4,30.0,56.0
156.0,31.6,28.8,36.0
162.0,36.666666666666664,32.8,40.8
165.0,19.8,12.0,24.1
168.0,32.44444444444444,23.2,48.0
171.0,36.0,26.8,47.6
177.0,75.0,75.0,75.0
189.0,17.0,14.6,19.4
195.0,14.5,13.6,15.0
