price,age
15.0,6
14.0,4
13.0,4
65.0,5
15.0,6
16.0,4
24.0,5
12.0,4
27.0,5
19.0,6
30.0,5
34.0,5
12.0,5
24.0,4
30.0,7
13.0,6
28.0,7
23.0,5
20.0,4
19.0,10
22.0,6
35.0,8
69.0,6
13.0,4
10.0,4
17.0,6
16.0,7
50.0,7
20.0,6
50.0,7
15.0,6
21.0,7
11.0,6
12.0,6
17.0,6
22.0,8
9.0,5
14.0,6
9.0,6
40.0,7
13.0,6
13.0,6
16.0,6
14.0,6
22.0,9
14.0,7
15.0,6
30.0,7
14.0,7
13.0,6
13.0,6
55.0,3
100.0,4
17.0,2
25.0,3
26.0,2
24.0,2
15.0,2
46.0,4
12.0,3
12.0,3
40.0,4
32.0,4
75.0,4
55.0,5
75.0,4
9.0,2
18.0,1
25.0,2
16.0,3
11.0,1
20.0,1
24.0,3
10.0,2
20.0,1
55.0,3
29.0,3
23.0,3
18.0,2
12.0,2
22.0,3
20.0,2
18.0,2
20.0,2
30.0,7
75.0,4
18.0,2
20.0,3
20.0,3
18.0,2
16.0,3
14.0,2
30.0,3
18.0,2
26.0,3
30.0,3
23.0,2
85.0,4
15.0,3
19.0,2
18.0,5
18.0,4
25.0,4
44.0,3
80.0,4
80.0,13
70.0,14
36.0,10
39.0,10
40.0,11
45.0,11
45.0,14
48.0,10
13.0,9
17.0,9
25.0,13
70.0,14
20.0,9
30.0,16
68.0,14
78.0,10
60.0,16
50.0,14
10.0,9
112.0,10
26.0,12
45.0,14
17.0,10
84.0,10
85.0,4
64.0,4
68.0,7
68.0,5
16.0,3
35.0,4
25.0,4
30.0,3
55.0,5
46.0,5
50.0,7
36.0,4
14.0,3
26.0,4
38.0,5
35.0,5
35.0,4
28.0,3
29.0,5
32.0,5
25.0,4
28.0,4
95.0,5
44.0,3
30.0,3
22.0,3
20.0,5
38.0,3
19.0,9
50.0,11
22.0,12
25.0,12
27.0,11
23.0,11
36.0,11
12.0,10
35.0,10
40.0,11
48.0,14
11.0,10
11.0,9
26.0,10
30.0,11
20.0,14
35.0,11
18.0,10
23.0,3
60.0,4
28.0,3
62.0,3
50.0,6
28.0,5
25.0,2
25.0,3
32.0,3
40.0,4
16.0,3
20.0,3
32.0,4
40.0,2
48.0,3
36.0,3
80.0,3
57.0,5
20.0,4
20.0,2
36.0,2
40.0,3
40.0,3
22.0,3
25.0,4
20.0,3
15.0,11
14.0,11
18.0,12
16.0,11
12.0,11
28.0,11
10.0,10
49.0,11
85.0,13
29.0,11
36.0,12
9.0,10
34.0,12
15.0,10
30.0,15
13.0,10
12.0,10
15.0,11
25.0,13
45.0,11
18.0,10
49.0,12
22.0,11
35.0,11
15.0,10
45.0,9
55.0,8
20.0,9
18.0,10
35.0,10
13.0,10
40.0,8
37.0,9
39.0,9
60.0,8
19.0,10
40.0,8
14.0,9
40.0,10
36.0,12
17.0,8
25.0,8
15.0,7
26.0,7
19.0,10
13.0,7
30.0,8
20.0,8
30.0,7
50.0,8
24.0,5
34.0,6
41.0,8
52.0,6
215.0,6
60.0,6
40.0,7
125.0,7
45.0,11
70.0,8
30.0,6
35.0,9
20.0,9
15.0,9
19.0,8
28.0,10
14.0,8
56.0,12
24.0,10
7.0,8
30.0,8
18.0,7
20.0,11
18.0,11
18.0,9
40.0,9
28.0,9
18.0,10
20.0,10
22.0,9
16.0,10
18.0,10
35.0,11
12.0,10
18.0,10
16.0,10
34.0,11
40.0,11
15.0,9
15.0,10
35.0,2
16.0,2
11.0,2
18.0,2
48.0,4
20.0,7
19.0,2
775.0,3
225.0,5
150.0,7
320.0,12
68.0,3
630.0,3
365.0,3
68.0,3
85.0,4
350.0,4
66.0,6
110.0,3
125.0,5
60.0,5
200.0,5
380.0,3
48.0,3
60.0,4
21.0,17
11.0,16
21.0,18
160.0,26
23.0,15
10.0,15
15.0,15
19.0,16
40.0,20
18.0,15
18.0,21
15.0,16
12.0,15
11.0,17
15.0,17
9.0,16
30.0,15
18.0,16
34.0,17
17.0,17
25.0,18
15.0,15
12.0,16
14.0,16
12.0,17
11.0,15
12.0,16
16.0,10
15.0,9
13.0,9
24.0,9
19.0,9
11.0,10
15.0,12
45.0,12
14.0,10
15.0,9
20.0,10
20.0,11
12.0,11
20.0,9
13.0,10
14.0,10
20.0,6
30.0,4
20.0,2
23.0,2
30.0,3
18.0,2
18.0,6
17.0,2
42.0,4
30.0,3
24.0,2
16.0,3
27.0,3
89.0,5
15.0,2
54.0,5
15.0,5
42.0,4
38.0,4
12.0,2
35.0,4
32.0,5
12.0,2
28.0,2
20.0,3
19.0,3
39.0,11
35.0,10
40.0,6
45.0,6
50.0,6
29.0,5
66.0,7
60.0,10
115.0,6
69.0,9
65.0,7
42.0,6
27.0,6
70.0,14
73.0,7
72.0,7
34.0,7
130.0,8
88.0,8
65.0,7
15.0,11
45.0,8
18.0,9
60.0,7
12.0,6
12.0,6
13.0,8
13.0,7
15.0,7
18.0,7
18.0,6
30.0,9
35.0,8
12.0,6
18.0,7
25.0,8
30.0,8
17.0,7
20.0,6
11.0,6
15.0,7
19.0,6
15.0,8
16.0,8
12.0,6
28.0,8
28.0,8
65.0,3
48.0,3
70.0,7
90.0,4
35.0,5
75.0,3
55.0,3
55.0,3
60.0,3
36.0,3
35.0,4
35.0,4
55.0,3
65.0,2
35.0,3
49.0,2
55.0,3
30.0,2
45.0,3
24.0,4
50.0,2
50.0,2
38.0,3
22.0,2
50.0,4
110.0,5
45.0,3
42.0,3
60.0,5
42.0,5
30.0,5
75.0,4
54.0,4
85.0,5
50.0,3
150.0,6
85.0,4
90.0,6
35.0,3
46.0,4
20.0,2
42.0,4
40.0,2
75.0,4
88.0,7
40.0,4
25.0,3
48.0,4
45.0,4
50.0,3
65.0,7
48.0,5
62.0,4
100.0,6
53.0,4
55.0,6
70.0,5
38.0,3
50.0,2
25.0,2
15.0,2
14.0,2
11.0,1
14.0,2
37.0,3
17.0,1
15.0,2
13.0,1
18.0,1
26.0,1
18.0,4
32.0,3
18.0,1
25.0,1
18.0,1
20.0,1
18.0,2
17.0,1
13.0,1
41.0,3
16.0,1
20.0,2
30.0,3
13.0,2
24.0,1
36.0,4
20.0,7
19.0,6
15.0,5
69.0,7
36.0,7
35.0,9
30.0,8
25.0,6
25.0,6
15.0,5
20.0,5
17.0,5
54.0,7
12.0,5
19.0,6
11.0,6
45.0,6
25.0,5
35.0,8
28.0,7
25.0,8
28.0,7
20.0,7
15.0,7
23.0,9
19.0,8
35.0,5
75.0,4
48.0,4
54.0,6
34.0,4
60.0,4
48.0,4
28.0,7
125.0,7
45.0,3
36.0,7
30.0,5
37.0,3
25.0,3
30.0,4
60.0,5
40.0,4
50.0,3
23.0,4
80.0,4
34.0,3
75.0,4
39.0,3
21.0,3
35.0,4
43.0,3
30.0,4
70.0,4
50.0,6
40.0,4
45.0,5
80.0,5
15.0,4
65.0,6
65.0,5
35.0,4
25.0,4
20.0,3
26.0,3
30.0,4
13.0,4
45.0,5
26.0,3
44.0,4
38.0,5
28.0,4
32.0,5
50.0,6
35.0,5
35.0,5
25.0,6
42.0,6
45.0,6
70.0,7
30.0,5
75.0,5
53.0,6
29.0,5
90.0,6
35.0,5
35.0,4
50.0,5
35.0,5
65.0,5
50.0,4
43.0,7
28.0,3
20.0,5
40.0,5
65.0,4
17.0,3
20.0,3
28.0,3
20.0,3
20.0,3
25.0,3
38.0,5
120.0,4
23.0,4
48.0,4
32.0,4
50.0,5
28.0,7
30.0,4
25.0,3
8.0,2
15.0,2
22.0,2
14.0,2
25.0,2
8.0,2
14.0,2
80.0,5
9.0,2
13.0,3
17.0,2
10.0,2
16.0,4
10.0,3
22.0,3
40.0,3
17.0,2
32.0,4
12.0,2
17.0,4
102.0,8
10.0,3
20.0,3
33.0,4
48.0,6
9.0,2
24.0,10
75.0,9
12.0,8
45.0,9
13.0,7
22.0,9
10.0,7
18.0,8
35.0,9
36.0,8
34.0,9
70.0,11
28.0,9
19.0,8
14.0,7
10.0,7
45.0,10
32.0,9
18.0,9
9.0,9
11.0,9
30.0,10
32.0,12
70.0,7
48.0,7
72.0,12
18.0,9
105.0,7
101.0,15
50.0,14
85.0,16
38.0,8
32.0,9
25.0,5
12.0,5
125.0,4
46.0,2
29.0,2
17.0,3
85.0,4
30.0,5
34.0,5
22.0,2
35.0,3
45.0,3
20.0,3
17.0,3
45.0,5
20.0,3
22.0,3
39.0,4
35.0,3
15.0,5
27.0,3
66.0,4
32.0,2
20.0,6
125.0,4
16.0,2
42.0,4
22.0,4
18.0,4
22.0,4
12.0,5
15.0,4
9.0,4
12.0,4
20.0,5
28.0,7
10.0,7
70.0,8
28.0,5
11.0,5
30.0,4
26.0,4
15.0,4
23.0,4
30.0,5
10.0,5
12.0,4
36.0,6
20.0,4
10.0,4
16.0,4
25.0,6
24.0,3
33.0,5
70.0,3
117.0,3
16.0,3
30.0,3
20.0,3
35.0,4
25.0,2
28.0,4
15.0,3
150.0,5
45.0,8
30.0,2
45.0,5
25.0,3
40.0,4
42.0,3
29.0,4
42.0,4
18.0,2
16.0,3
40.0,8
50.0,10
35.0,8
45.0,8
20.0,9
44.0,9
22.0,8
27.0,9
25.0,10
60.0,8
72.0,8
44.0,8
28.0,8
29.0,8
58.0,9
15.0,9
29.0,9
45.0,11
70.0,10
39.0,9
28.0,8
48.0,10
50.0,7
22.0,3
10.0,3
50.0,4
30.0,3
18.0,2
30.0,4
39.0,4
35.0,4
30.0,6
18.0,2
20.0,5
25.0,3
20.0,2
50.0,5
50.0,5
15.0,2
9.0,2
12.0,2
18.0,3
20.0,4
175.0,6
60.0,4
20.0,4
15.0,3
35.0,5
14.0,3
16.0,3
15.0,3
14.0,3
40.0,4
29.0,2
15.0,4
55.0,4
15.0,3
34.0,3
18.0,4
27.0,2
17.0,3
65.0,4
13.0,3
15.0,3
23.0,3
40.0,3
32.0,4
38.0,5
15.0,3
50.0,5
24.0,2
18.0,2
18.0,3
20.0,3
11.0,11
17.0,11
48.0,11
9.0,9
10.0,9
19.0,11
23.0,9
35.0,11
30.0,11
12.0,9
17.0,9
16.0,10
15.0,9
10.0,9
41.0,14
10.0,10
16.0,12
25.0,9
12.0,12
20.0,10
25.0,10
20.0,10
53.0,12
12.0,10
14.0,11
12.0,10
22.0,11
26.0,11
14.0,11
18.0,11
18.0,10
17.0,11
24.0,11
41.0,12
60.0,11
26.0,14
25.0,10
16.0,10
40.0,11
21.0,11
14.0,12
18.0,11
75.0,12
16.0,10
45.0,10
42.0,5
48.0,7
22.0,6
22.0,4
20.0,4
125.0,6
14.0,4
20.0,5
25.0,4
28.0,5
42.0,5
13.0,4
34.0,5
19.0,5
18.0,4
60.0,5
28.0,7
16.0,4
22.0,4
10.0,7
12.0,5
28.0,5
20.0,5
15.0,4
15.0,5
70.0,6
15.0,14
20.0,10
17.0,10
24.0,11
28.0,13
16.0,13
10.0,11
25.0,10
12.0,10
30.0,17
19.0,11
24.0,12
10.0,10
11.0,11
16.0,13
11.0,12
25.0,10
20.0,12
50.0,2
38.0,5
34.0,2
100.0,3
95.0,2
62.0,2
57.0,4
150.0,3
78.0,2
100.0,4
52.0,2
112.0,3
180.0,4
35.0,2
85.0,2
32.0,1
32.0,1
120.0,3
85.0,4
120.0,3
38.0,3
32.0,1
58.0,2
85.0,3
80.0,4
60.0,2
75.0,3
50.0,3
60.0,2
60.0,3
28.0,6
25.0,5
15.0,5
19.0,4
35.0,9
45.0,5
13.0,4
15.0,5
22.0,6
35.0,7
20.0,6
38.0,7
70.0,11
60.0,6
17.0,7
15.0,4
38.0,5
27.0,9
10.0,7
56.0,5
18.0,5
32.0,6
16.0,3
40.0,3
20.0,3
38.0,4
20.0,4
18.0,4
13.0,3
65.0,6
16.0,3
14.0,3
20.0,5
15.0,4
11.0,2
27.0,5
11.0,3
100.0,5
25.0,4
18.0,3
13.0,5
28.0,6
12.0,3
17.0,4
14.0,4
30.0,4
24.0,13
15.0,10
19.0,13
15.0,11
23.0,10
60.0,12
16.0,11
21.0,11
13.0,11
23.0,12
18.0,13
26.0,12
13.0,10
17.0,10
20.0,11
48.0,11
40.0,12
12.0,11
12.0,11
14.0,2
19.0,3
26.0,3
50.0,4
13.0,3
49.0,5
50.0,5
19.0,5
14.0,3
28.0,3
70.0,3
13.0,4
40.0,3
10.0,2
16.0,2
40.0,4
20.0,6
35.0,3
90.0,4
25.0,2
13.0,3
10.0,2
32.0,3
26.0,3
14.0,3
10.0,2
75.0,5
35.0,3
80.0,4
55.0,1
52.0,3
115.0,3
60.0,2
40.0,4
55.0,1
28.0,3
60.0,4
33.0,3
57.0,3
75.0,4
40.0,8
58.0,2
55.0,3
75.0,3
38.0,3
49.0,2
32.0,2
55.0,2
32.0,3
65.0,2
40.0,3
50.0,3
42.0,2
60.0,3
48.0,3
36.0,2
16.0,10
9.0,11
35.0,12
40.0,14
13.0,10
17.0,9
20.0,10
50.0,12
35.0,11
40.0,12
13.0,9
50.0,12
20.0,12
22.0,10
12.0,10
7.0,11
10.0,10
15.0,10
40.0,12
21.0,13
7.0,7
22.0,7
20.0,7
13.0,7
35.0,10
12.0,7
16.0,7
20.0,10
30.0,7
34.0,9
26.0,8
15.0,7
28.0,8
10.0,7
70.0,10
24.0,7
10.0,7
8.0,7
27.0,11
10.0,7
10.0,7
17.0,8
35.0,5
19.0,4
13.0,5
48.0,6
26.0,4
75.0,5
30.0,4
25.0,4
20.0,4
36.0,6
49.0,6
35.0,5
20.0,4
21.0,4
28.0,4
20.0,4
20.0,10
40.0,4
13.0,3
45.0,6
40.0,7
32.0,4
15.0,4
34.0,5
40.0,6
20.0,4
42.0,4
98.0,4
25.0,1
18.0,1
15.0,1
35.0,4
56.0,3
33.0,2
25.0,2
38.0,3
28.0,2
22.0,2
13.0,2
38.0,4
22.0,2
18.0,1
21.0,1
23.0,1
30.0,1
20.0,1
39.0,3
38.0,3
18.0,1
22.0,2
10.0,7
35.0,7
19.0,6
14.0,6
30.0,6
35.0,7
75.0,8
47.0,9
10.0,6
17.0,7
23.0,7
9.0,6
27.0,6
18.0,8
15.0,10
9.0,11
40.0,11
20.0,11
13.0,10
28.0,12
10.0,10
20.0,12
24.0,11
15.0,10
18.0,12
11.0,10
18.0,11
24.0,14
12.0,10
18.0,11
20.0,11
15.0,11
25.0,5
14.0,3
36.0,6
27.0,4
42.0,4
16.0,3
48.0,3
19.0,4
40.0,4
50.0,5
21.0,6
16.0,3
11.0,5
25.0,5
23.0,3
28.0,4
22.0,3
15.0,3
20.0,3
70.0,5
9.0,3
40.0,4
16.0,3
31.0,6
30.0,10
38.0,6
45.0,7
50.0,8
24.0,5
86.0,10
55.0,7
28.0,7
45.0,7
85.0,7
50.0,7
120.0,6
30.0,5
25.0,7
40.0,6
50.0,9
32.0,7
40.0,7
46.0,5
39.0,7
85.0,9
60.0,6
75.0,4
120.0,4
25.0,6
80.0,3
85.0,4
28.0,3
180.0,4
85.0,3
135.0,3
125.0,5
90.0,3
154.0,8
70.0,4
150.0,4
56.0,2
49.0,3
72.0,3
48.0,4
35.0,2
70.0,5
132.0,3
38.0,6
20.0,5
175.0,4
36.0,2
60.0,4
110.0,3
100.0,2
85.0,6
80.0,4
12.0,11
18.0,14
15.0,11
20.0,13
14.0,12
12.0,12
9.0,11
12.0,10
9.0,11
10.0,11
19.0,11
11.0,10
75.0,13
48.0,17
22.0,11
35.0,14
12.0,13
23.0,11
15.0,11
16.0,11
12.0,10
34.0,12
65.0,13
10.0,10
8.0,10
16.0,11
12.0,11
43.0,6
32.0,7
71.0,7
65.0,8
60.0,7
15.0,7
35.0,8
92.0,8
42.0,10
65.0,8
35.0,6
43.0,7
54.0,7
75.0,8
16.0,7
35.0,8
26.0,7
38.0,8
50.0,9
29.0,7
42.0,8
48.0,7
40.0,8
100.0,8
21.0,2
14.0,1
13.0,1
15.0,2
15.0,2
9.0,3
17.0,3
20.0,1
34.0,4
20.0,1
12.0,1
15.0,1
11.0,2
10.0,2
9.0,1
10.0,1
10.0,2
20.0,2
15.0,1
7.0,1
10.0,1
12.0,1
8.0,1
28.0,2
9.0,1
125.0,9
94.0,8
1900.0,8
380.0,8
50.0,9
102.0,9
170.0,8
220.0,9
215.0,9
150.0,8
1100.0,8
82.0,8
280.0,8
200.0,8
75.0,9
1200.0,8
195.0,8
125.0,9
1300.0,8
400.0,8
78.0,8
75.0,8
56.0,8
89.0,8
163.0,8
110.0,8
60.0,9
75.0,8
28.0,4
34.0,4
35.0,4
16.0,3
45.0,5
20.0,6
30.0,3
45.0,4
22.0,4
18.0,5
58.0,4
10.0,3
55.0,4
16.0,3
25.0,5
18.0,3
20.0,3
12.0,3
30.0,3
14.0,5
24.0,3
19.0,4
15.0,5
26.0,4
10.0,2
10.0,1
12.0,1
10.0,0
8.0,1
6.0,1
13.0,1
13.0,2
13.0,1
12.0,1
16.0,2
12.0,2
22.0,2
7.0,2
8.0,1
12.0,1
15.0,3
10.0,0
12.0,2
8.0,1
20.0,2
20.0,2
10.0,3
12.0,2
15.0,3
40.0,7
11.0,2
10.0,3
27.0,3
13.0,2
25.0,4
10.0,3
16.0,2
9.0,2
20.0,2
18.0,3
10.0,2
10.0,2
11.0,2
13.0,2
20.0,3
13.0,2
28.0,3
10.0,2
13.0,2
10.0,2
12.0,2
9.0,3
12.0,4
19.0,3
20.0,3
28.0,4
25.0,5
65.0,10
20.0,7
40.0,8
126.0,10
50.0,9
30.0,9
28.0,9
25.0,11
20.0,10
16.0,7
16.0,7
18.0,7
115.0,10
35.0,8
20.0,7
63.0,8
18.0,8
44.0,9
12.0,8
15.0,8
50.0,14
16.0,11
85.0,12
16.0,12
15.0,11
14.0,11
10.0,11
35.0,13
15.0,12
14.0,11
23.0,11
15.0,11
65.0,14
25.0,11
10.0,11
20.0,12
20.0,13
23.0,13
19.0,11
11.0,11
10.0,11
10.0,11
8.0,11
10.0,11
30.0,12
22.0,12
18.0,12
47.0,11
48.0,5
30.0,4
35.0,5
20.0,4
90.0,7
135.0,5
40.0,5
40.0,5
50.0,7
22.0,4
80.0,9
29.0,8
75.0,5
56.0,7
45.0,5
45.0,7
49.0,6
30.0,5
13.0,4
10.0,3
25.0,6
20.0,4
29.0,4
15.0,3
19.0,3
10.0,4
12.0,4
25.0,3
37.0,5
20.0,4
12.0,3
18.0,3
25.0,4
25.0,4
15.0,4
9.0,4
13.0,3
17.0,5
23.0,4
15.0,4
33.0,6
55.0,8
33.0,8
35.0,7
26.0,6
20.0,6
45.0,6
50.0,5
40.0,5
24.0,7
60.0,6
29.0,6
30.0,5
40.0,5
45.0,6
50.0,13
29.0,7
10.0,3
20.0,3
19.0,3
28.0,5
15.0,4
11.0,3
16.0,3
14.0,4
11.0,3
20.0,3
9.0,3
12.0,4
25.0,4
15.0,3
13.0,3
20.0,3
22.0,3
18.0,4
12.0,3
23.0,4
16.0,5
46.0,6
15.0,3
50.0,6
10.0,4
13.0,4
23.0,4
25.0,7
19.0,6
23.0,4
47.0,6
60.0,8
42.0,6
13.0,5
16.0,4
25.0,4
20.0,4
30.0,5
12.0,7
9.0,5
38.0,5
25.0,4
13.0,4
21.0,4
25.0,10
15.0,5
25.0,4
55.0,6
30.0,5
180.0,8
74.0,8
300.0,9
130.0,9
120.0,9
30.0,8
36.0,8
85.0,9
75.0,8
45.0,8
90.0,8
36.0,8
75.0,9
80.0,9
47.0,8
270.0,8
50.0,10
28.0,9
55.0,8
70.0,10
60.0,13
50.0,9
48.0,9
22.0,8
23.0,12
20.0,14
25.0,11
21.0,14
46.0,12
18.0,12
30.0,12
12.0,11
150.0,14
10.0,11
18.0,11
28.0,12
12.0,12
30.0,12
24.0,14
55.0,13
53.0,13
14.0,13
22.0,12
15.0,11
25.0,5
32.0,7
14.0,6
50.0,7
30.0,7
16.0,6
19.0,5
12.0,6
20.0,6
13.0,6
26.0,6
32.0,7
15.0,6
50.0,8
28.0,7
17.0,6
25.0,6
11.0,6
30.0,6
35.0,7
80.0,9
18.0,6
53.0,8
18.0,6
60.0,8
30.0,7
19.0,7
15.0,6
20.0,6
14.0,5
40.0,7
19.0,5
13.0,6
65.0,7
36.0,7
24.0,7
32.0,6
10.0,6
15.0,8
15.0,5
24.0,5
32.0,7
18.0,7
15.0,7
24.0,6
17.0,6
40.0,9
35.0,7
30.0,6
32.0,6
35.0,6
60.0,8
15.0,6
20.0,7
40.0,8
20.0,10
10.0,7
35.0,7
20.0,6
18.0,6
14.0,6
22.0,6
50.0,7
15.0,7
16.0,7
15.0,7
45.0,7
28.0,7
22.0,7
19.0,10
40.0,8
18.0,6
14.0,6
4.0,4
13.0,5
16.0,4
25.0,5
15.0,7
20.0,6
11.0,5
18.0,5
20.0,4
25.0,4
11.0,4
15.0,4
19.0,4
12.0,4
10.0,5
10.0,5
8.0,4
19.0,4
11.0,3
23.0,4
15.0,5
19.0,4
24.0,4
15.0,5
12.0,4
15.0,4
17.0,4
16.0,4
17.0,4
25.0,5
38.0,6
28.0,7
40.0,7
19.0,6
45.0,6
15.0,7
15.0,5
15.0,7
9.0,4
39.0,9
25.0,5
13.0,7
45.0,7
35.0,8
15.0,4
17.0,5
22.0,7
70.0,15
25.0,9
82.0,11
75.0,11
85.0,11
40.0,11
40.0,9
35.0,9
48.0,10
55.0,10
50.0,11
48.0,11
76.0,11
17.0,9
58.0,10
25.0,9
35.0,10
65.0,11
36.0,12
35.0,12
49.0,10
31.0,12
28.0,10
45.0,12
41.0,11
37.0,11
40.0,11
25.0,9
85.0,12
28.0,10
35.0,10
42.0,12
39.0,10
24.0,10
50.0,10
22.0,9
26.0,10
19.0,10
12.0,11
13.0,10
20.0,11
17.0,11
12.0,12
29.0,11
18.0,11
21.0,11
30.0,12
24.0,12
20.0,13
22.0,11
19.0,10
24.0,12
12.0,10
17.0,11
36.0,11
30.0,8
30.0,8
79.0,10
20.0,9
20.0,7
25.0,8
24.0,7
20.0,7
53.0,11
42.0,9
15.0,8
98.0,9
13.0,7
25.0,7
45.0,8
15.0,8
22.0,7
44.0,7
10.0,8
10.0,2
42.0,3
21.0,3
12.0,2
8.0,2
12.0,2
10.0,3
22.0,5
22.0,2
28.0,6
8.0,2
10.0,2
11.0,2
33.0,4
11.0,2
11.0,2
9.0,2
18.0,4
11.0,2
21.0,2
14.0,3
9.0,2
15.0,3
23.0,2
16.0,2
85.0,5
22.0,1
17.0,1
15.0,5
24.0,1
30.0,2
28.0,2
25.0,1
107.0,4
35.0,1
58.0,4
32.0,2
31.0,1
32.0,1
60.0,3
16.0,1
23.0,2
30.0,6
25.0,3
18.0,2
70.0,3
16.0,2
25.0,2
13.0,2
15.0,1
30.0,2
20.0,2
35.0,3
34.0,3
24.0,1
24.0,3
25.0,5
30.0,5
50.0,7
18.0,3
62.0,5
85.0,5
32.0,4
10.0,4
10.0,3
20.0,3
48.0,4
19.0,3
75.0,5
32.0,6
40.0,5
23.0,3
53.0,6
30.0,5
17.0,3
21.0,3
20.0,5
17.0,4
24.0,4
14.0,3
12.0,4
15.0,5
85.0,8
36.0,8
64.0,8
73.0,8
55.0,8
46.0,8
60.0,8
40.0,8
225.0,8
260.0,8
40.0,7
50.0,8
22.0,10
65.0,11
20.0,10
19.0,10
25.0,10
16.0,11
26.0,10
16.0,11
40.0,15
26.0,13
13.0,9
20.0,11
40.0,10
30.0,11
35.0,11
30.0,10
25.0,6
11.0,5
18.0,5
20.0,7
12.0,6
29.0,8
20.0,6
17.0,7
17.0,7
20.0,5
15.0,7
15.0,6
34.0,6
25.0,7
32.0,6
20.0,6
16.0,7
17.0,6
20.0,6
23.0,10
28.0,10
33.0,11
40.0,10
47.0,11
36.0,10
75.0,11
20.0,12
18.0,11
14.0,11
30.0,12
54.0,13
27.0,10
33.0,11
37.0,12
30.0,12
34.0,12
13.0,3
15.0,4
25.0,5
15.0,4
12.0,4
10.0,3
10.0,4
12.0,4
20.0,4
16.0,4
18.0,5
14.0,3
32.0,5
