price,allAgeRed,youngAgeRed,midAgeRed,oldAgeRed,veryOldAgeRed,extremelyOldAgeRed,allAgeWhite,youngAgeWhite,midAgeWhite,oldAgeWhite,veryOldAgeWhite,extremelyOldAgeWhite
0,22.0,0.0,11.0,11.0,0.0,0.0,15.0,2.0,4.0,9.0,0.0,0.0
5,2705.0,584.0,1026.0,1094.0,0.0,1.0,2664.0,859.0,982.0,821.0,0.0,1.0
10,7615.0,1774.0,3381.0,2453.0,0.0,7.0,8160.0,3083.0,3080.0,1978.0,0.0,7.0
15,8846.0,1762.0,4015.0,3063.0,0.0,6.0,8952.0,3491.0,3452.0,1991.0,0.0,6.0
20,7064.0,1296.0,3142.0,2613.0,0.0,13.0,5574.0,2228.0,2153.0,1184.0,0.0,13.0
25,6711.0,935.0,3245.0,2524.0,0.0,7.0,3676.0,1394.0,1536.0,740.0,0.0,7.0
30,4730.0,617.0,2367.0,1743.0,0.0,3.0,1966.0,667.0,855.0,443.0,0.0,3.0
35,5485.0,725.0,2732.0,2024.0,0.0,4.0,1771.0,585.0,766.0,419.0,0.0,4.0
40,3801.0,504.0,1914.0,1380.0,0.0,3.0,1052.0,311.0,478.0,262.0,0.0,3.0
45,4164.0,607.0,2085.0,1472.0,0.0,0.0,906.0,280.0,384.0,241.0,0.0,0.0
50,2236.0,313.0,1175.0,747.0,0.0,1.0,467.0,123.0,212.0,132.0,0.0,1.0
55,2406.0,380.0,1187.0,834.0,0.0,5.0,470.0,130.0,206.0,134.0,0.0,5.0
60,1588.0,282.0,797.0,509.0,0.0,0.0,301.0,105.0,125.0,71.0,0.0,0.0
65,1177.0,156.0,591.0,430.0,0.0,0.0,301.0,74.0,131.0,96.0,0.0,0.0
70,1250.0,149.0,602.0,495.0,0.0,4.0,241.0,53.0,97.0,91.0,0.0,4.0
75,860.0,90.0,472.0,298.0,0.0,0.0,175.0,33.0,76.0,66.0,0.0,0.0
80,631.0,77.0,351.0,203.0,0.0,0.0,87.0,18.0,27.0,42.0,0.0,0.0
85,631.0,47.0,337.0,247.0,0.0,0.0,123.0,28.0,37.0,58.0,0.0,0.0
90,374.0,34.0,194.0,146.0,0.0,0.0,97.0,22.0,39.0,36.0,0.0,0.0
